Standard,E2,A2,D3,G3,B3,E4
Open A,E2,A2,C#3,E3,A3,E4
Open B,B2,F#2,B3,F#3,B3,D#4
Open C,C2,G2,C3,G3,C3,E4
Open D,D2,A2,D3,F#3,A3,D4
Open E,E2,B2,E3,G#3,B3,E4
Open F,F2,A2,C3,F3,C3,F4
Open G,D2,G2,D3,G3,B3,D4
Cross-note A,E,A,E,A,C,E
Cross-note C,C,G,C,G,C,D#
Cross-note D,D,A,D,F,A,D
Cross-note E,E,B,E,G,B,E
Cross-note F,F,G#,C,F,C,F
Cross-note G,D,G,D,G,A#,D
Drop D,D,A,D,G,B,E
Drop Db,C#,G#,C#,F#,A#,D#
Drop C,C,G,C,F,A,D
Drop B,B,F#,B,E,G#,C#
Drop Bb,A#,F,A#,D#,G, C
Drop A,A,E,A,D,F#,B
Drop Ab,G#,D#,G#,C#,F,A#
Drop G,G,D,G,C,E,A
Drop Gb,F#,C#,F#,B,D#,G#
Drop F,F,C,F,A#,D,G
Drop E,E,B,E,A,C#,F#
Drop Eb,D#,B,D#,G#,C,F
Major Seconds,C,D,E,F#,G#,A#
Major Thirds,E,G#,C,E,G#,C
Minor Thirds,C,D#,F#,A,C,D#
All fourths,E,A,D,G,C,F
Augemented fouths,C,F#,C,F',C,F#
Mandoguitar,C,G,D,A,E,B
Ostrich,E,E,E,E,E,E
Lowered Eb,D#,B#,C#,F#,A#,D#
Lowered D,D,G,C,F,A,D
Lowered Db,C#,F#,B,E,G#,C#
Lowered C,C,F,A#,D#,G,C
Lowered B,B,E,A,D,F#,B
Lowered Bb,A#,D#,G#,C#,F,A#
Lowered A,A,D,G,C,E,A
Lowered Ab,G#,C#,F#,B,D#,G#
Lowered G,G,C,F,A#,D,G
Lowered Gb,F#,B,E,A,C#,F#
Lowered F,F,A#,D#,G#,C,F
Lowered Octive,E,A,D,G,B,E
Raised F,F,A#,D#,G#,C,F
Raised Gb,F#,B,E,A,C#,F#
Raised G,G,C,F,A#,D,G
Raised Ab,G#,C#,F#,B,D#,G#
Raised A,A,D,G,C,E,A
Raised Bb,A#,D#,G#,C#,F,A#
Dbl Drop D,D,A,D,G,B,E
Dbl Drop Db,C#,G#,C#,F#,A#,C#
Dbl Drop C,C,G,C,F,A,C
Dbl Drop B,B,F#,B,E,G#,B
Dbl Drop Bb,A#,F,A#,D#,G,A#
Dbl Drop A,A,E,A,D,F#,A
Dbl Drop Ab,G#,D#,G#,C#,F,G#
Dbl Drop G,G,D,G,C,E,G
Dbl Drop Gb,F#,C#,F#,B,D#,F#
Dbl Drop F,F,C,F,A#,D,F
Dbl Drop E,E,B,E,A,C#,E
Dbl Drop Eb,D#,A#,D#,G#,C,D#
Dbl Drop D1,D,A,D,G,B,D
